date,commute_type,time_left_house,time_boarded_train,type_of_train,time_at_park,time_red_line,time_jfk_umb,delayed_mbta,delayed_line,late
2/11/2019,late,7:40:00 AM,7:45:00 AM,D,8:02:00 AM,8:07:00 AM,8:22:00 AM,N,,N
2/12/2019,early,6:45:00 AM,6:52:00 AM,39 - 7:08 @ Cop,7:14:00 AM,7:17:00 AM,7:28:00 AM,N,,N
2/13/2019,late,7:40:00 AM,7:49:00 AM,D,8:08:00 AM,8:13:00 AM,8:26:00 AM,N,,N
2/14/2019,early,6:42:00 AM,6:53:00 AM,D,7:11:00 AM,7:13:00 AM,7:24:00 AM,N,,N
2/15/2019,late,7:44:00 AM,7:48:00 AM,D,8:08:00 AM,8:10:00 AM,8:20:00 AM,N,,N
2/19/2019,early,6:42:00 AM,6:47:00 AM,D,7:06:00 AM,7:06:00 AM,7:17:00 AM,N,,N
2/20/2019,late,7:47:00 AM,7:53:00 AM,E,8:19:00 AM,8:19:00 AM,8:31:00 AM,N,,N
2/21/2019,early,6:43:00 AM,6:46:00 AM,D,7:05:00 AM,7:08:00 AM,7:19:00 AM,N,,N
2/22/2019,late,7:41:00 AM,7:44:00 AM,D,8:02:00 AM,8:07:00 AM,8:19:00 AM,N,,N
2/25/2019,late,7:43:00 AM,7:49:00 AM,D,8:06:00 AM,8:09:00 AM,8:20:00 AM,N,,N
2/26/2019,early,6:46:00 AM,6:52:00 AM,D,7:10:00 AM,7:17:00 AM,7:27:00 AM,Y,,N
2/27/2019,late,7:43:00 AM,7:51:00 AM,65 BUS (8:05 AT KENMORE),8:19:00 AM,8:20:00 AM,8:31:00 AM,N,,N
3/1/2019,late,7:44:00 AM,7:50:00 AM,D,8:09:00 AM,8:21:00 AM,8:32:00 AM,N,,N
3/5/2019,early,6:47:00 AM,6:51:00 AM,D,N/A,7:09:00 AM,7:21:00 AM,N,,N
3/6/2019,late,7:46:00 AM,7:51:00 AM,D,N/A,N/A,8:28:00 AM,N,,N
3/7/2019,early,6:48:00 AM,6:54:00 AM,D,7:14:00 AM,7:17:00 AM,7:27:00 AM,N,,N
3/8/2019,late,7:32:00 AM,7:39:00 AM,D,7:58:00 AM,8:07:00 AM,8:22:00 AM,Y,Red,N
