Date,Day_From_Start,Day,Images,Running_Total,Week,Country,
2/6/2019,1.00,1,18,18,1,Puerto Rico,
2/7/2019,2.00,2,16,34,1,Puerto Rico,
2/8/2019,3.00,3,32,66,1,Puerto Rico,
2/9/2019,4.00,4,22,88,1,Puerto Rico,
2/10/2019,5.00,5,26,114,1,Puerto Rico,
2/11/2019,6.00,6,8,122,1,Puerto Rico,
2/12/2019,7.00,7,33,155,1,Puerto Rico,
2/13/2019,8.00,8,0,155,2,Puerto Rico,
2/14/2019,9.00,9,16,171,2,Puerto Rico,
2/15/2019,10.00,10,0,171,2,Puerto Rico,
2/16/2019,11.00,11,0,171,2,Puerto Rico,
2/17/2019,12.00,12,10,181,2,Puerto Rico,
2/18/2019,13.00,13,21,202,2,Puerto Rico,
2/19/2019,14.00,14,15,217,2,Puerto Rico,
2/20/2019,1.00,15,0,217,3,Bahamas,
2/21/2019,2.00,16,5,222,3,Bahamas,
2/22/2019,3.00,17,0,222,3,Bahamas,
2/23/2019,4.00,18,0,222,3,Bahamas,
2/24/2019,5.00,19,0,222,3,Bahamas,
2/25/2019,6.00,20,0,222,3,Bahamas,
2/26/2019,7.00,21,0,222,3,Bahamas,
2/27/2019,8.00,22,5,227,4,Bahamas,
2/28/2019,9.00,23,0,227,4,Bahamas,
3/1/2019,10.00,24,0,227,4,Bahamas,
3/2/2019,11.00,25,0,227,4,Bahamas,
3/3/2019,12.00,26,0,227,4,Bahamas,
3/4/2019,13.00,27,0,227,4,Bahamas,
3/5/2019,14.00,28,0,227,4,Bahamas,
3/6/2019,15.00,29,0,227,5,Bahamas,
3/7/2019,16.00,30,0,227,5,Bahamas,
3/8/2019,17.00,31,0,227,5,Bahamas,
3/9/2019,18.00,32,0,227,5,Bahamas,
3/10/2019,19.00,33,0,227,5,Bahamas,
3/11/2019,20.00,34,0,227,5,Bahamas,
3/12/2019,21.00,35,0,227,5,Bahamas,
3/13/2019,22.00,36,0,227,6,Bahamas,
3/14/2019,23.00,37,11,238,6,Bahamas,
3/15/2019,24.00,38,26,264,6,Bahamas,
3/16/2019,25.00,39,0,264,6,Bahamas,
3/17/2019,26.00,40,0,264,6,Bahamas,
3/18/2019,27.00,41,0,264,6,Bahamas,
3/19/2019,28.00,42,0,264,6,Bahamas,
3/20/2019,29.00,43,0,264,7,Bahamas,
3/21/2019,30.00,44,0,264,7,Bahamas,
3/22/2019,31.00,45,0,264,7,Bahamas,
3/23/2019,32.00,46,0,264,7,Bahamas,
3/24/2019,33.00,47,0,264,7,Bahamas,
3/25/2019,34.00,48,0,264,7,Bahamas,
3/26/2019,35.00,49,0,264,7,Bahamas,
3/27/2019,36.00,50,0,264,8,Bahamas,
3/28/2019,37.00,51,0,264,8,Bahamas,
3/29/2019,38.00,52,0,264,8,Bahamas,
3/30/2019,39.00,53,0,264,8,Bahamas,
3/31/2019,40.00,54,0,264,8,Bahamas,
4/1/2019,41.00,55,0,264,8,Bahamas,
4/2/2019,42.00,56,0,264,8,Bahamas,
4/3/2019,43.00,57,0,264,9,Bahamas,
4/4/2019,44.00,58,0,264,9,Bahamas,
4/5/2019,45.00,59,0,264,9,Bahamas,
4/6/2019,46.00,60,0,264,9,Bahamas,
4/7/2019,47.00,61,20,284,9,Bahamas,
4/8/2019,48.00,62,32,316,9,Bahamas,
4/9/2019,49.00,63,28,344,9,Bahamas,
4/10/2019,50.00,64,0,344,10,Bahamas,
4/11/2019,51.00,65,0,344,10,Bahamas,
4/12/2019,52.00,66,14,358,10,Bahamas,
4/13/2019,53.00,67,0,358,10,Bahamas,
4/14/2019,54.00,68,33,391,10,Bahamas,
5/22/2019,1.00,69,37,428,10,Jamaica,HAD TO WAIT TO GET JAMAICA CLAWS
5/23/2019,2.00,70,0,428,10,Jamaica,
5/24/2019,3.00,71,43,471,11,Jamaica,
5/25/2019,4.00,72,0,471,11,Jamaica,
5/26/2019,5.00,73,33,504,11,Jamaica,
5/27/2019,6.00,74,24,528,11,Jamaica,
5/28/2019,7.00,75,0,528,11,Jamaica,
5/29/2019,8.00,76,18,546,11,Jamaica,
5/30/2019,9.00,77,16,562,11,Jamaica,
5/31/2019,10.00,78,16,578,12,Jamaica,
6/1/2019,11.00,79,52,630,12,Jamaica,
6/2/2019,12.00,80,23,653,12,Jamaica,
6/3/2019,13.00,81,38,691,12,Jamaica,
6/4/2019,14.00,82,42,733,12,Jamaica,
6/5/2019,15.00,83,0,733,12,Jamaica,
6/6/2019,16.00,84,76,809,12,Jamaica,
