Specimen_ID,Island,Context,Perch_Type,RQ,RA,Comments
481,Puerto Rico,Urban,Use,32.5501,26.2702,
482,Puerto Rico,Urban,Use,22.5023,17.2647,
483,Puerto Rico,Urban,Use,14.1745,11.2947,
484,Puerto Rico,Urban,Use,14.3165,10.6544,
485,Puerto Rico,Urban,Use,9.8126,7.8624,
486,Puerto Rico,Urban,Use,9.6754,6.9656,
487,Puerto Rico,Urban,Use,24.4584,15.3084,
488,Puerto Rico,Urban,Use,16.7096,10.1635,
489,Puerto Rico,Urban,Use,35.3846,28.6189,
490,Puerto Rico,Urban,Use,4.8422,3.5427,random is blurry
491,Puerto Rico,Urban,Use,16.6289,12.8311,"random is a thin vine, size 200 rectangle excised"
492,Puerto Rico,Urban,Use,9.0383,6.8596,
493,Puerto Rico,Urban,Use,19.8342,15.6414,
494,Puerto Rico,Urban,Use,16.8736,13.4303,
495,Puerto Rico,Urban,Use,13.754,10.7957,
496,Puerto Rico,Urban,Use,18.7396,13.5308,
497,Puerto Rico,Urban,Use,2.6683,2.178,
498,Puerto Rico,Urban,Use,16.12,8.4956,
499,Puerto Rico,Urban,Use,31.5132,26.3956,
500,Puerto Rico,Urban,Use,24.6561,18.6147,
501,Puerto Rico,Urban,Use,n/a,n/a,
502,Puerto Rico,Urban,Use,n/a,n/a,
503,Puerto Rico,Urban,Use,8.8524,5.0704,
504,Puerto Rico,Urban,Use,27.5673,22.4795,
505,Puerto Rico,Urban,Use,15.6276,11.3699,102sq mm size of vine
506,Puerto Rico,Urban,Use,15.4705,8.7708,
507,Puerto Rico,Urban,Use,4.2889,3.1113,
508,Puerto Rico,Urban,Use,6.3675,4.4956,
509,Puerto Rico,Urban,Use,28.7124,22.0021,
510,Puerto Rico,Urban,Use,35.7005,28.5232,
511,Puerto Rico,Urban,Use,37.6949,30.4719,102sq mm size of vine
512,Puerto Rico,Urban,Use,31.4311,25.6486,use_perch blurry
513,Puerto Rico,Urban,Use,n/a,n/a,
514,Puerto Rico,Urban,Use,20.6558,16.5095,
515,Puerto Rico,Urban,Use,22.0263,17.1094,long rectangle 1014mm^2 made
516,Puerto Rico,Urban,Use,11.4016,8.84,random image is blurry
517,Puerto Rico,Urban,Use,17.7548,13.7271,
518,Puerto Rico,Urban,Use,23.6495,18.6604,random image is blurry
519,Puerto Rico,Urban,Use,8.1881,6.3502,
520,Puerto Rico,Urban,Use,20.78,16.4163,378sq mm rectangle created
521,Puerto Rico,Urban,Use,18.3896,13.8934,
522,Puerto Rico,Urban,Use,16.0757,13.1446,
523,Puerto Rico,Urban,Use,31.0336,21.581,
524,Puerto Rico,Urban,Use,42.1302,35.2399,
525,Puerto Rico,Urban,Use,43.0842,35.3656,
526,Puerto Rico,Urban,Use,35.4339,29.4404,
527,Puerto Rico,Urban,Use,18.831,14.3639,used image is blurry
528,Puerto Rico,Urban,Use,21.9991,17.6674,
529,Puerto Rico,Urban,Use,15.7444,9.8472,
530,Puerto Rico,Urban,Use,8.6388,6.1091,
531,Puerto Rico,Urban,Use,42.9824,35.7072,
426,Puerto Rico,Forest,Use,19.4104,15.46,"used image is blurry, random image is a thin vine (long rectangle created)"
427,Puerto Rico,Forest,Use,41.9855,33.8725,"random image is thin vine, 726mm^2 rectangle created"
428,Puerto Rico,Forest,Use,22.9711,17.8054,
429,Puerto Rico,Forest,Use,39.7604,32.7427,"used image is a bit blurry, thin vine so long rectangle created"
430,Puerto Rico,Forest,Use,37.2247,29.7287,
431,Puerto Rico,Forest,Use,19.8344,15.2122,"used image is blurry, random image also blurry and vine so small rectangle made"
432,Puerto Rico,Forest,Use,24.5454,19.0217,
433,Puerto Rico,Forest,Use,41.3171,33.8079,
434,Puerto Rico,Forest,Use,24.6295,19.2411,used image is blurry
435,Puerto Rico,Forest,Use,23.1939,18.1441,random perch is a thin vine and sort of blurry
436,Puerto Rico,Forest,Use,17.2974,13.6397,"used image is blurry, random image is long thin vines so long rectangle cut"
437,Puerto Rico,Forest,Use,34.7958,27.9458,
438,Puerto Rico,Forest,Use,32.7578,26.2581,
439,Puerto Rico,Forest,Use,21.3571,16.9861,"used perch small, cut small rectangle"
440,Puerto Rico,Forest,Use,50.6792,41.2527,
441,Puerto Rico,Forest,Use,25.9786,20.6131,"random image blurry and bad, small rectangle cut"
442,Puerto Rico,Forest,Use,33.9893,26.9459,random image blurry
443,Puerto Rico,Forest,Use,21.3387,17.1069,
444,Puerto Rico,Forest,Use,33.9185,26.9592,
445,Puerto Rico,Forest,Use,35.9297,29.6494,
446,Puerto Rico,Forest,Use,30.8748,23.8635,random image blurry
447,Puerto Rico,Forest,Use,30.3838,24.4497,
448,Puerto Rico,Forest,Use,46.6145,38.8699,
449,Puerto Rico,Forest,Use,48.5242,39.9021,thin vine so small rectangle cut
450,Puerto Rico,Forest,Use,23.7883,18.0389,
451,Puerto Rico,Forest,Use,28.1652,21.9341,
452,Puerto Rico,Forest,Use,22.8679,16.6004,
453,Puerto Rico,Forest,Use,29.4524,22.4052,
454,Puerto Rico,Forest,Use,44.0129,34.5329,
455,Puerto Rico,Forest,Use,29.1516,22.7872,
456,Puerto Rico,Forest,Use,n/a,n/a,
457,Puerto Rico,Forest,Use,27.7063,21.3758,random perch is a thin vine
458,Puerto Rico,Forest,Use,36.4874,29.3651,random perch is blurry
459,Puerto Rico,Forest,Use,39.8437,32.7776,"used perch small rectangle cut, random perch is thin vine"
460,Puerto Rico,Forest,Use,45.5888,37.8169,random perch is thin vine
461,Puerto Rico,Forest,Use,31.074,24.8041,"random perch is thin vine, small rectangle cut"
462,Puerto Rico,Forest,Use,39.139,31.775,"random perch is thin vine, small rectangle cut"
463,Puerto Rico,Forest,Use,37.1905,29.8241,
464,Puerto Rico,Forest,Use,25.8895,20.1637,
465,Puerto Rico,Forest,Use,30.8885,24.852,long rectangle 610mm^2 made
466,Puerto Rico,Forest,Use,23.4577,18.3218,long rectangle 710 mm^2 made
467,Puerto Rico,Forest,Use,44.8092,37.0658,short rectangle 510mm made
468,Puerto Rico,Forest,Use,33.1254,26.7783,short rectangle 300m made
469,Puerto Rico,Forest,Use,47.6835,39.8725,
470,Puerto Rico,Forest,Use,44.9036,35.9775,
471,Puerto Rico,Forest,Use,37.6371,30.6236,long rectangle 610mm^2 made
472,Puerto Rico,Forest,Use,51.8229,43.4213,
473,Puerto Rico,Forest,Use,26.1288,20.635,
474,Puerto Rico,Forest,Use,32.406,25.4086,
475,Puerto Rico,Forest,Use,27.9785,22.6221,
476,Puerto Rico,Forest,Use,38.1672,30.917,
477,Puerto Rico,Forest,Use,26.6185,20.9188,long rectangle 400mm^2 made
478,Puerto Rico,Forest,Use,39.6135,32.3525,image blurry so smaller rectangle made
479,Puerto Rico,Forest,Use,11.2984,8.3208,long image 162mm^2 made
480,Puerto Rico,Forest,Use,26.5346,21.5117,
481,Puerto Rico,Urban,Random,45.3562,38.0953,
482,Puerto Rico,Urban,Random,6.6962,4.3575,
483,Puerto Rico,Urban,Random,43.5914,36.5605,
484,Puerto Rico,Urban,Random,5.0017,9.2047,
485,Puerto Rico,Urban,Random,21.0131,16.1403,
486,Puerto Rico,Urban,Random,23.0082,18.7248,
487,Puerto Rico,Urban,Random,11.418,8.5275,
488,Puerto Rico,Urban,Random,9.3811,6.4707,
489,Puerto Rico,Urban,Random,7.1584,4.6889,
490,Puerto Rico,Urban,Random,27.3233,20.9981,
491,Puerto Rico,Urban,Random,9.4072,7.5264,
492,Puerto Rico,Urban,Random,30.487,24.0624,
493,Puerto Rico,Urban,Random,13.5059,10.1832,
494,Puerto Rico,Urban,Random,10.3031,7.937,
495,Puerto Rico,Urban,Random,16.2669,12.2419,
496,Puerto Rico,Urban,Random,4.027,3.1728,
497,Puerto Rico,Urban,Random,27.0573,21.6344,
498,Puerto Rico,Urban,Random,10.15,7.3795,
499,Puerto Rico,Urban,Random,10.3104,8.1803,
500,Puerto Rico,Urban,Random,20.3554,14.6493,
501,Puerto Rico,Urban,Random,7.1621,5.9808,
502,Puerto Rico,Urban,Random,7.3703,5.76,
503,Puerto Rico,Urban,Random,9.527,6.1794,
504,Puerto Rico,Urban,Random,9.0301,6.6145,
505,Puerto Rico,Urban,Random,10.1352,8.6033,
506,Puerto Rico,Urban,Random,6.6414,5.2146,
507,Puerto Rico,Urban,Random,15.1689,10.299,
508,Puerto Rico,Urban,Random,11.6058,8.2055,
509,Puerto Rico,Urban,Random,19.0137,15.1056,
510,Puerto Rico,Urban,Random,28.8305,16.1453,
511,Puerto Rico,Urban,Random,6.3174,4.0722,
512,Puerto Rico,Urban,Random,11.8936,6.3344,
513,Puerto Rico,Urban,Random,19.5343,14.4772,
514,Puerto Rico,Urban,Random,27.8562,22.302,
515,Puerto Rico,Urban,Random,9.3741,6.421,
516,Puerto Rico,Urban,Random,26.6168,18.7022,
517,Puerto Rico,Urban,Random,28.0342,20.9788,
518,Puerto Rico,Urban,Random,32.8947,26.6322,
519,Puerto Rico,Urban,Random,32.6821,26.1803,
520,Puerto Rico,Urban,Random,9.632,2.7482,
521,Puerto Rico,Urban,Random,9.4132,7.0654,
522,Puerto Rico,Urban,Random,10.5656,8.4248,
523,Puerto Rico,Urban,Random,15.0955,12.1189,
524,Puerto Rico,Urban,Random,28.9594,22.1922,
525,Puerto Rico,Urban,Random,5.0434,3.6569,
526,Puerto Rico,Urban,Random,25.8002,21.2688,
527,Puerto Rico,Urban,Random,37.782,30.8623,
528,Puerto Rico,Urban,Random,34.6793,28.7246,
529,Puerto Rico,Urban,Random,17.8161,12.5873,
530,Puerto Rico,Urban,Random,7.7267,5.2317,
531,Puerto Rico,Urban,Random,18.9849,13.3598,
426,Puerto Rico,Forest,Random,21.8132,16.9175,
427,Puerto Rico,Forest,Random,26.1574,20.6964,
428,Puerto Rico,Forest,Random,14.3774,11.0747,
429,Puerto Rico,Forest,Random,27.4463,21.9049,
430,Puerto Rico,Forest,Random,17.5868,13.8173,
431,Puerto Rico,Forest,Random,14.2427,11.1447,
432,Puerto Rico,Forest,Random,34.9864,28.4496,
433,Puerto Rico,Forest,Random,23.7297,19.1043,
434,Puerto Rico,Forest,Random,22.6691,17.2248,
435,Puerto Rico,Forest,Random,49.7272,44.4475,
436,Puerto Rico,Forest,Random,32.7651,26.7399,
437,Puerto Rico,Forest,Random,26.4628,21.1155,
438,Puerto Rico,Forest,Random,25.57,20.4471,
439,Puerto Rico,Forest,Random,34.4718,27.7029,
440,Puerto Rico,Forest,Random,35.777,28.6132,
441,Puerto Rico,Forest,Random,18.38,14.4038,
442,Puerto Rico,Forest,Random,27.3665,21.1947,
443,Puerto Rico,Forest,Random,30.7436,24.8046,
444,Puerto Rico,Forest,Random,32.0104,26.9063,
445,Puerto Rico,Forest,Random,38.9754,30.9569,
446,Puerto Rico,Forest,Random,34.1724,27.819,
447,Puerto Rico,Forest,Random,36.08784,28.8104,
448,Puerto Rico,Forest,Random,25.3426,19.474,
449,Puerto Rico,Forest,Random,17.4233,12.2195,
450,Puerto Rico,Forest,Random,20.8354,16.2484,
451,Puerto Rico,Forest,Random,31.2041,24.844,
452,Puerto Rico,Forest,Random,23.2049,17.7871,
