home,destination,time_home,time_brookline_village,time_green_line,time_at_park,time_red_line,time_jfk_umb,time_umb,walk_or_shuttle,delayed_mbta,late,Notes,GENERAL THOUGHTS
9/3/2019,home,6:25,6:21,5:58,5:55,5:44,5:44,5:25,shuttle,N,N,,All times are recorded to the nearest minute by rounding
9/3/2019,school,NA,NA,NA,NA,11:20,11:33,,shuttle,N,N,,It is not applicable to be late on the way home unless my destination has a time requirement
9/5/2019,home,6:20,6:17,5:54,5:51,5:38,5:34,5:20,walk,N,NA,not sure on the 5:38,"Shuttle buses on the green line suck. They will be recorded normally, but will be analysed separately most likely"
9/6/2019,school,7:43,7:47,7:50,8:09,8:12,8:27,8:46,walk,N,N,,plot scatterplot of standard deviation vs. mean of commute
9/9/2019,home,7:57,7:53,7:34,7:27,7:16,7:13,7:09,shuttle,N,N,"7:28 (standing by for schedule adjustment, actually left at 7:34)",
9/10/2019,school,7:47,7:51,7:53,NA,8:14,8:27,NA,walk,N,N,,
9/10/2019,home,NA,NA,NA,NA,5:39,5:35,5:26,shuttle,N,N,"6:43 BOARDED, 6:45 LEFT",
9/10/2019,home,7:05,7:01,6:45,6:42,NA,NA,NA,shuttle,N,NA,,
9/11/2019,school,7:50,7:53,7:58,8:24,8:27,8:41,8:52,shuttle,"Y, green, by 10 minutes",N,,
9/12/2019,home,7:31,NA,7:13,7:10,6:59,6:58,6:49,shuttle,N,NA,,
9/11/2019,home,5:47,5:44,5:22,5:21,5:08,5:08,4:57,shuttle,N,NA,,
9/13/2019,school,7:45,7:46,7:49,8:12,8:15,8:27,NA,walk,N,N,,
9/12/2019,school,NA,NA,NA,NA,3:21,3:34,3:43,shuttle,N,N,,
9/13/2019,home,NA,NA,NA,NA,4:31,4:27,4:16,shuttle,N,NA,,
9/16/2019,home,NA,NA,6:09,6:08,5:57,5:55,NA,shuttle,N,NA,,
9/16/2019,school,7:46,7:50,7:50,8:11,8:14,8:26,8:45,walk,N,N,,
9/17/2019,school,7:51,7:55,8:02,8:22,NA,8:36,NA,walk,N,N,,
9/19/2019,school,NA,NA,NA,NA,3:22,3:33,3:47,shuttle,N,N,,
9/19/2019,home,NA,NA,NA,5:56,5:45,5:44,NA,walk,N,NA,,
9/20/2019,school,7:49,7:52,7:57,8:17,8:20,8:31,8:41,shuttle,N,N,,
9/18/2019,home,4:52,4:49,4:29,NA,NA,NA,NA,NA,N,NA,,
9/18/2019,school,7:48,7:51,7:57,8:21,8:24,8:36,NA,shuttle,N,NA,,
