date,destination,time_home,time_brookline_village,time_green_line,time_at_park,time_red_line,time_jfk_umb,time_umb,walk_or_shuttle,delayed_mbta,late,Notes,GENERAL THOUGHTS,total_time,red_line,wait_red,wait_green,green_line,walk_or_bike,mbta_total,time_wo_walk
9/3/2019,home,6:25:00,6:21:00,5:58:00,5:55:00,5:44:00,5:44:00,5:25:00,shuttle,N,N,NA,All times are recorded to the nearest minute by rounding,60,11,0,3,23,19,37,56
9/5/2019,home,6:20:00,6:17:00,5:54:00,5:51:00,5:38:00,5:34:00,5:20:00,walk,N,NA,not sure on the 5:38,"Shuttle buses on the green line suck. They will be recorded normally, but will be analysed separately most likely",60,13,4,3,23,14,39,57
9/9/2019,home,7:57:00,7:53:00,7:34:00,7:27:00,7:16:00,7:13:00,7:09:00,shuttle,N,N,"7:28 (standing by for schedule adjustment, actually left at 7:34)",NA,48,11,3,7,19,4,37,44
9/10/2019,home,NA,NA,NA,NA,5:39:00,5:35:00,5:26:00,shuttle,N,N,"6:43 BOARDED, 6:45 LEFT",NA,NA,NA,4,NA,NA,9,NA,NA
9/10/2019,home,7:05:00,7:01:00,6:45:00,6:42:00,NA,NA,NA,shuttle,N,NA,NA,NA,NA,NA,NA,3,16,NA,NA,NA
9/12/2019,home,7:31:00,NA,7:13:00,7:10:00,6:59:00,6:58:00,6:49:00,shuttle,N,NA,NA,NA,42,11,1,3,NA,9,NA,NA
9/11/2019,home,5:47:00,5:44:00,5:22:00,5:21:00,5:08:00,5:08:00,4:57:00,shuttle,N,NA,NA,NA,50,13,0,1,22,11,36,47
9/13/2019,home,NA,NA,NA,NA,4:31:00,4:27:00,4:16:00,shuttle,N,NA,NA,NA,NA,NA,4,NA,NA,11,NA,NA
9/16/2019,home,NA,NA,6:09:00,6:08:00,5:57:00,5:55:00,NA,shuttle,N,NA,NA,NA,NA,11,2,1,NA,NA,NA,NA
9/19/2019,home,NA,NA,NA,5:56:00,5:45:00,5:44:00,NA,walk,N,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA
9/18/2019,home,4:52:00,4:49:00,4:29:00,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
9/20/2019,home,6:09:00,6:06:00,5:47:00,5:45:00,5:32:00,5:27:00,5:15:00,shuttle,N,NA,NA,NA,54,13,5,2,19,12,34,51
9/23/2019,home,NA,NA,NA,6:57:00,6:44:00,6:39:00,6:32:00,shuttle,NA,NA,NA,NA,NA,13,5,NA,NA,7,NA,NA
9/24/2019,home,NA,NA,NA,NA,5:36:00,5:33:00,5:17:00,shuttle,N,NA,NA,NA,NA,NA,3,NA,NA,16,NA,NA
9/25/2019,home,5:48:00,5:44:00,5:20:00,5:11:00,4:59:00,4:59:00,4:52:00,shuttle,N,NA,NA,NA,56,12,0,9,24,7,45,52
9/30/2019,home,NA,5:05:00,4:44:00,NA,4:06:00,4:00:00,3:48:00,bike,N,N,NA,NA,NA,NA,6,NA,21,12,59,77
10/1/2019,home,NA,NA,NA,5:56:00,5:44:00,5:43:00,5:30:00,bike,N,NA,"got to Umass at 5:40, but didn't get to the platform until 5:43. Missed the D line, took the E line and the 66 home.",NA,NA,12,1,NA,NA,13,NA,NA
10/7/2019,home,NA,6:20:00,5:53:00,5:47:00,5:35:00,5:32:00,5:24:00,shuttle,N,N,5:24,NA,NA,12,3,6,27,8,45,56
10/8/2019,home,6:21:00,6:18:00,5:56:00,5:47:00,5:35:00,5:34:00,5:24:00,NA,NA,NA,NA,NA,57,12,1,9,22,10,43,54
10/9/2019,home,8:03:00,8:00:00,7:42:00,NA,7:16:00,7:15:00,NA,NA,N,N,got driven,NA,NA,NA,1,NA,18,NA,44,NA
10/10/2019,home,NA,NA,NA,6:05:00,5:53:00,5:52:00,5:40:00,bike,NA,NA,NA,NA,NA,12,1,NA,NA,12,NA,NA
10/15/2019,home,6:44:00,6:41:00,6:21:00,6:20:00,6:09:00,6:05:00,5:57:00,bike,N,NA,NA,NA,47,11,4,1,20,8,32,44
10/16/2019,home,NA,NA,NA,5:47:00,NA,5:28:00,5:18:00,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
10/17/2019,home,NA,NA,7:29:00,7:24:00,7:14:00,7:13:00,NA,NA,N,NA,NA,NA,NA,10,1,5,NA,NA,NA,NA
10/18/2019,home,5:46:00,5:43:00,5:16:00,5:13:00,5:01:00,5:01:00,4:51:00,NA,N,NA,NA,NA,55,12,0,3,27,10,42,52
10/21/2019,home,6:11:00,6:09:00,5:48:00,5:47:00,5:36:00,5:36:00,5:18:00,NA,N,NA,"three shuttle, then walked, because the bus wouldn't pick up at the stat",NA,53,11,0,1,21,18,33,51
10/22/2019,home,6:20:00,6:15:00,5:54:00,5:53:00,5:42:00,5:40:00,5:29:00,shuttle,N,NA,NA,NA,51,11,2,1,21,11,33,46
10/23/2019,home,6:25:00,6:21:00,6:02:00,6:00:00,5:49:00,5:47:00,5:36:00,bike,N,NA,NA,NA,49,11,2,2,19,11,32,45
10/25/2019,home,5:29:00,5:26:00,5:05:00,5:00:00,NA,4:42:00,4:32:00,shuttle,N,N,NA,NA,57,NA,NA,5,21,10,NA,54
10/28/2019,home,6:20:00,6:17:00,5:49:00,5:47:00,5:33:00,5:30:00,5:23:00,shuttle,N,NA,NA,NA,57,14,3,2,28,7,44,54
10/30/2019,home,6:44:00,6:41:00,6:13:00,6:06:00,5:53:00,5:53:00,5:38:00,?,N,NA,NA,NA,66,13,0,7,28,15,48,63
10/31/2019,home,6:51:00,6:48:00,6:27:00,6:25:00,6:13:00,6:11:00,6:03:00,shuttle,NA,NA,NA,NA,48,12,2,2,21,8,35,45
11/4/2019,home,NA,NA,NA,NA,5:18:00,5:14:00,5:02:00,shuttle,N,NA,NA,NA,NA,NA,4,NA,NA,12,NA,NA
11/5/2019,home,6:22:00,6:17:00,5:59:00,5:57:00,5:43:00,5:37:00,5:26:00,shuttle,N,NA,NA,NA,56,14,6,2,18,11,34,51
11/7/2019,home,6:53:00,6:50:00,6:29:00,6:28:00,6:17:00,6:12:00,6:05:00,shuttle,N,N,NA,NA,48,11,5,1,21,7,33,45
11/6/2019,home,NA,NA,NA,5:41:00,5:26:00,5:26:00,5:15:00,shuttle,N,N,NA,NA,NA,15,0,NA,NA,11,NA,NA
11/8/2019,home,5:36:00,5:33:00,5:11:00,5:01:00,4:47:00,4:38:00,4:30:00,shuttle,N,NA,NA,NA,66,14,9,10,22,8,46,63
11/12/2019,home,NA,NA,5:49:00,5:42:00,5:30:00,5:29:00,5:18:00,shuttle,N,NA,NA,NA,NA,12,1,7,NA,11,NA,NA
11/13/2019,home,3:55:00,3:51:00,3:32:00,3:25:00,3:13:00,3:13:00,2:57:00,shuttle,N,NA,NA,NA,58,12,0,7,19,16,38,54
11/14/2019,home,NA,NA,NA,5:51:00,5:37:00,5:34:00,5:25:00,shuttle,N,NA,NA,NA,NA,14,3,NA,NA,9,NA,NA
11/15/2019,home,6:05:00,6:02:00,5:35:00,5:30:00,5:18:00,5:17:00,5:08:00,shuttle,N,NA,NA,NA,57,12,1,5,27,9,44,54
11/19/2019,home,NA,NA,NA,NA,12:14:00,12:06:00,11:55:00,shuttle,N,NA,NA,NA,NA,NA,8,NA,NA,11,NA,NA
11/19/2019,home,3:49:00,3:46:00,3:26:00,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
11/20/2019,home,6:57:00,6:54:00,6:35:00,6:33:00,6:22:00,6:21:00,6:09:00,shuttle,N,NA,NA,NA,48,11,1,2,19,12,32,45
11/18/2019,home,6:42:00,6:39:00,6:20:00,6:15:00,6:01:00,6:00:00,5:49:00,shuttle,N,NA,NA,NA,53,14,1,5,19,11,38,50
11/21/2019,home,7:02:00,6:59:00,6:34:00,6:34:00,6:21:00,6:21:00,6:08:00,shuttle,N,NA,NA,NA,54,13,0,0,25,13,38,51
11/22/2019,home,NA,NA,NA,NA,4:55:00,4:51:00,4:43:00,shuttle,N,NA,NA,NA,NA,NA,4,NA,NA,8,NA,NA
11/25/2019,home,NA,NA,NA,NA,1:09:00,1:02:00,12:54:00,shuttle,N,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
11/25/2019,home,2:02:00,1:59:00,1:35:00,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
11/26/2019,home,NA,NA,NA,5:59:00,5:48:00,5:42:00,5:31:00,shuttle,N,NA,NA,NA,NA,11,6,NA,NA,11,NA,NA
11/27/2019,home,NA,NA,NA,2:55:00,2:44:00,2:37:00,2:29:00,shuttle,N,NA,NA,NA,NA,11,7,NA,NA,8,NA,NA
12/4/2019,home,NA,NA,NA,NA,NA,4:39:00,4:30:00,shuttle,N,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
12/5/2019,home,NA,NA,NA,5:50:00,5:39:00,5:38:00,5:25:00,shuttle,N,NA,NA,NA,NA,11,1,NA,NA,13,NA,NA
12/6/2019,home,6:53:00,6:50:00,6:31:00,6:30:00,6:17:00,6:16:00,6:03:00,shuttle,N,NA,NA,NA,50,13,1,1,19,13,33,47
