Book_ID,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Page_Number,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_With_Positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
40189670,Josh and Hazel's Guide to Not Dating,Christina Lauren,"Lauren, Christina",,1501165852,9781501165856,3,4.12,Gallery Books,Paperback,309,2018,2018,,3/11/2019,,,read,,,,1,,,0,,,,,
15195,"The Complete Maus (Maus, #1-2)",Art Spiegelman,"Spiegelman, Art",,0141014083,9780141014081,4,4.55,Penguin Books,Paperback,296,2003,1986,,5/27/2019,,,read,,,,1,,,0,,,,,
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,037571457X,9780375714573,3,4.24,Pantheon,Paperback,153,2004,2000,4/9/2019,4/4/2019,,,read,,,,1,,,0,,,,,
36236092,Aroused: The History of Hormones and How They Control Just About Everything,Randi Hutter Epstein,"Epstein, Randi Hutter",,0393239608,9780393239607,0,3.83,W. W. Norton  Company,Hardcover,336,2018,,,4/9/2019,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
39088507,Dear Evan Hansen,Val Emmich,"Emmich, Val","Steven Levenson, Benj Pasek, Justin Paul",0316420239,9780316420235,5,4.05,Poppy,Hardcover,368,2018,2018,12/20/2018,12/20/2018,,,read,,,,1,,,0,,,,,
28919058,Autoboyography,Christina Lauren,"Lauren, Christina",,1481481681,9781481481687,5,4.35,Simon & Schuster Books for Young Readers,Hardcover,407,2017,2017,3/14/2019,3/14/2019,,,read,,,,1,,,0,,,,,
26114524,The Only Thing Worse Than Me Is You,Lily  Anderson,"Anderson, Lily",,1250079098,9781250079091,3,4.09,St. Martin's Griffin,Hardcover,352,2016,2016,3/11/2019,3/11/2019,,,read,,,,1,,,0,,,,,
18077769,"Authority (Southern Reach, #2)",Jeff VanderMeer,"VanderMeer, Jeff",,0374104107,9780374104108,2,3.5,"Farrar, Straus and Giroux",Paperback,341,2014,2014,,2/21/2019,,,read,,,,1,,,0,,,,,
6407014,Stitches,David Small,"Small, David",,0393068579,9780393068573,4,4.03,W. W. Norton & Company,Hardcover,329,2009,2009,,2/21/2019,,,read,,,,1,,,0,,,,,
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,006097625X,9780060976255,4,3.97,William Morrow Paperbacks,Paperback,215,1994,1993,,2/21/2019,,,read,,,,1,,,0,,,,,
37880094,"The Lady's Guide to Petticoats and Piracy (Montague Siblings, #2)",Mackenzi Lee,"Lee, Mackenzi",,0062795325,9780062795328,4,4.16,Katherine Tegen Books,Hardcover,450,2018,2018,,1/30/2019,,,read,,,,1,,,0,,,,,
36698741,Science Not Silence: Voices from the March for Science Movement,Stephanie Fine Sasse,"Sasse, Stephanie Fine",,0262038102,9780262038102,5,4.82,Mit Press,Paperback,176,2018,,,1/23/2019,,,read,,,,1,,,0,,,,,
17934530,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,0374104093,9780374104092,4,3.67,"Farrar, Straus and Giroux",Paperback,195,2014,2014,1/15/2019,1/15/2019,,,read,,,,1,,,0,,,,,
28902446,Welcome Home,Eric  Smith,"Smith, Eric","Adi Alsaid, Randy Ribay, Nic Stone, Dave Connis, Helene Dunbar, Libby Cudmore, Lauren Gibaldi, Matthew Quinn Martin, Mindy McGinnis, Sammy Nickalls, Karen Akins, Erica M. Chapman, Julie Eshbaugh, Shannon Gibney, Jenny Kaczorowski, Julie Leung, Sangu Mandanna, Lauren Morrill, Tameka Mullins, C.J. Redwine, William  Ritter, Courtney C. Stevens, Kate  Watson, Stephanie  Scott, Natasha Sinel, Tristina Wright, S.M. Parker",,,2,4.03,Flux,Paperback,,2017,2017,1/15/2019,8/4/2018,,,read,,,,1,,,0,,,,,
25063781,Summer Days and Summer Nights: Twelve Love Stories,Stephanie Perkins,"Perkins, Stephanie","Leigh Bardugo, Francesca Lia Block, Libba Bray, Cassandra Clare, Brandy Colbert, Tim Federle, Lev Grossman, Nina LaCour, Veronica Roth, Jon Skovron, Jennifer E. Smith",1250079128,9781250079121,0,3.55,St. Martin's Griffin,Hardcover,388,2016,2016,,8/4/2018,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
32970438,The Shark Club,Ann Kidd Taylor,"Taylor, Ann Kidd",,0735221472,9780735221475,0,3.67,Viking,Hardcover,288,2017,2017,12/20/2018,4/30/2018,,,read,,,,1,,,0,,,,,
26837046,Three Sides of a Heart: Stories about Love Triangles,Natalie C. Parker,"Parker, Natalie C.","Rae Carson, Brandy Colbert, Katie Cotugno, Alaya Dawn Johnson, E.K. Johnston, Tessa Gratton, Garth Nix, Veronica Roth, Sabaa Tahir, Brenna Yovanoff, Renée Ahdieh, Julie   Murphy, Justina Ireland, Lamar Giles, Bethany Hagen",0062424475,9780062424471,1,3.15,HarperCollins,Hardcover,448,2017,2017,,10/15/2018,,,read,,,,1,,,0,,,,,
35504431,Turtles All the Way Down,John Green,"Green, John",,0525555366,9780525555360,4,3.99,Dutton Books for Young Readers,Hardcover,288,2017,2017,8/4/2018,8/3/2018,,,read,,,,1,,,0,,,,,
17693458,The Why Axis: Hidden Motives and The Undiscovered Economics of Everyday Life,Uri Gneezy,"Gneezy, Uri",,1443407607,9781443407601,5,3.64,HarperCollins Publishers,ebook,288,2013,2013,12/14/2018,12/13/2018,,,read,,,,1,,,0,,,,,
15749186,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,"Han, Jenny",,,,3,4.16,Simon & Schuster Books for Young Readers,Hardcover,355,2014,2014,,10/10/2018,,,read,,,,1,,,0,,,,,
33503607,Meet Cute: Some People Are Destined to Meet,Jennifer L. Armentrout,"Armentrout, Jennifer L.","Dhonielle Clayton, Katie Cotugno, Jocelyn Davies, Nina LaCour, Emery Lord, Katharine McGee, Kass Morgan, Meredith Russo, Sara Shepard, Nicola Yoon, Ibi Zoboi, Julie   Murphy",1328759873,9781328759870,5,3.62,HMH Books for Young Readers,Hardcover,314,2018,2018,8/12/2018,8/4/2018,,,read,,,,1,,,0,,,,,
28243032,We Are Okay,Nina LaCour,"LaCour, Nina",,0525425896,9780525425892,0,3.97,Dutton Books for Young Readers,Hardcover,236,2017,2017,,8/11/2018,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
29283884,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,"Lee, Mackenzi",,0062382802,9780062382801,5,4.15,Katherine Tegen Books,Hardcover,513,2017,2017,8/10/2018,8/8/2018,,,read,,,,1,,,0,,,,,
25893582,Tell Me Three Things,Julie Buxbaum,"Buxbaum, Julie",,0553535641,9780553535648,2,4.09,Delacorte Press,Hardcover,328,2016,2016,8/8/2018,8/8/2018,,,read,,,,1,,,0,,,,,
28006096,"The Burning Maze (The Trials of Apollo, #3)",Rick Riordan,"Riordan, Rick",,1484746430,9781368024129,5,4.37,Disney-Hyperion,Hardcover,431,2018,2018,8/8/2018,8/1/2018,,,read,,,,1,,,0,,,,,
5472,Animal Farm / 1984,George Orwell,"Orwell, George",Christopher Hitchens,0151010269,9780151010264,0,4.28,Houghton Mifflin Harcourt,Hardcover,400,2003,1950,,3/11/2014,,,read,,,,1,,,0,,,,,
29844228,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,1595147888,9781595147882,3,3.96,Razorbill,Hardcover,352,2016,2007,,8/3/2018,,,read,,,,1,,,0,,,,,
30145666,"The Dark Prophecy (The Trials of Apollo, #2)",Rick Riordan,"Riordan, Rick",John Rocco,1484746422,9781484746424,5,4.25,Disney-Hyperion,Hardcover,401,2017,2017,8/1/2018,4/30/2018,,,read,,,,1,,,0,,,,,
26252859,"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,"Riordan, Rick",,148473274X,9781484732748,5,4.28,Disney-Hyperion,Hardcover,376,2016,2016,8/1/2018,4/30/2018,,,read,,,,1,,,0,,,,,
13588394,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,"Silver, Nate",,159420411X,9781594204111,0,3.98,Penguin,Hardcover,534,2012,2012,,4/30/2018,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
15803037,"Red Sparrow (Red Sparrow Trilogy, #1)",Jason  Matthews,"Matthews, Jason",,1476706123,9781476706122,0,3.96,Scribner,Hardcover,431,2013,2013,,4/30/2018,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
28006120,"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",Rick Riordan,"Riordan, Rick",,1423160932,9781423160939,5,4.38,Disney-Hyperion,Hardcover,410,2017,2017,,4/30/2018,,,read,,,,1,,,0,,,,,
3189884,The Essential Dykes to Watch Out For,Alison Bechdel,"Bechdel, Alison",,0618968806,9780618968800,5,4.38,Houghton Mifflin Harcourt,Hardcover,392,2008,2008,6/29/2016,7/6/2016,top-faves,top-faves (#8),read,,,,1,,,0,,,,,
136189,Cornelia and the Audacious Escapades of the Somerset Sisters,Lesley M.M. Blume,"Blume, Lesley M.M.",,0375835237,9780375835230,5,4.16,Knopf Books for Young Readers,Hardcover,272,2006,2006,,10/5/2013,"my-favorite-kids-books, top-faves","my-favorite-kids-books (#5), top-faves (#7)",read,,,,1,,,0,,,,,
83369,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,"Stewart, Trenton Lee",Carson Ellis,0316057770,9780316057776,5,4.16,"Little, Brown and Company",Hardcover,485,2007,2007,,10/4/2013,"my-favorite-kids-books, top-faves","my-favorite-kids-books (#4), top-faves (#6)",read,,,,1,,,0,,,,,
301736,Guess How Much I Love You,Sam McBratney,"McBratney, Sam",Anita Jeram,076360013X,9780763600136,5,4.36,Candlewick,Board book,20,2005,1988,,10/4/2013,top-faves,top-faves (#5),read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,,,5,3.91,Scribner,Paperback,180,2004,1925,5/17/2016,2/2/2016,top-faves,top-faves (#4),read,,,,1,,,0,,,,,
978795,The Vacation,Polly Horvath,"Horvath, Polly",,0374380708,9780374380700,5,3.59,"Farrar, Straus and Giroux (BYR)",Hardcover,208,2005,2005,5/4/2014,5/4/2014,"my-favorite-kids-books, top-faves","my-favorite-kids-books (#2), top-faves (#3)",read,Literally my favorite book of all time.,,,1,,,0,,,,,
282773,Olive's Ocean,Kevin Henkes,"Henkes, Kevin",,0060535458,9780060535452,5,3.78,Greenwillow Books,Paperback,217,2005,2001,,11/10/2013,"my-favorite-kids-books, top-faves","my-favorite-kids-books (#1), top-faves (#2)",read,,,,1,,,0,,,,,
5530930,Geektastic: Stories from the Nerd Herd,Holly Black,"Black, Holly","Cecil Castellucci, M.T. Anderson, Libba Bray, Cassandra Clare, John Green, Cynthia Leitich Smith, Greg Leitich Smith, David Levithan, Kelly Link, Barry Lyga, Tracy Lynn, Wendy Mass, Garth Nix, Scott Westerfeld, Lisa Yee, Sara Zarr, Hope Larson, Bryan Lee O'Malley",0316008095,9780316008099,5,3.72,"Little, Brown Young Readers",Hardcover,403,2009,2009,4/5/2014,1/3/2014,top-faves,top-faves (#1),read,,,,1,,,0,,,,,
251688,Breakfast at Tiffany's,Truman Capote,"Capote, Truman",,0679745653,9780679745655,5,3.89,Vintage Books,Paperback,142,1993,1958,,5/15/2018,,,read,,,,1,,,0,,,,,
3276072,Scat,Carl Hiaasen,"Hiaasen, Carl",,0375834869,9780375834868,4,3.95,Alfred A. Knopf Books for Young Readers,Hardcover,384,2009,2009,,4/30/2018,,,read,,,,1,,,0,,,,,
12081467,Chomp,Carl Hiaasen,"Hiaasen, Carl",,0375868429,9780375868429,4,3.95,Knopf Books for Young Readers,Hardcover,290,2012,2012,,4/30/2018,,,read,,,,2,,,0,,,,,
13083,Hoot,Carl Hiaasen,"Hiaasen, Carl",,0440421705,9780440421702,4,3.82,Yearling Books,Paperback,292,2006,2002,,4/30/2018,,,read,,,,1,,,0,,,,,
13067,Flush,Carl Hiaasen,"Hiaasen, Carl",,0375821821,9780375821820,3,3.88,Alfred A. Knopf Books for Young Readers,Hardcover,263,2005,2005,,4/30/2018,,,read,,,,1,,,0,,,,,
33596091,"The Grave's a Fine and Private Place (Flavia de Luce, #9)",Alan Bradley,"Bradley, Alan",,1409172880,9781409172888,0,3.98,Orion,Hardcover,365,2018,2018,,4/30/2018,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
26194013,"Thrice the Brinded Cat Hath Mew'd (Flavia de Luce, #8)",Alan Bradley,"Bradley, Alan",,1409149501,9781409149507,0,3.98,Orion,Hardcover,307,2016,2016,,4/30/2018,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
18946020,"File Under: 13 Suspicious Incidents (All the Wrong Questions, #2.5)",Lemony Snicket,"Snicket, Lemony",Seth,1443434795,9781443434799,3,3.88,HarperCollins,Paperback,272,2014,2014,,4/5/2014,,,read,,,,1,,,0,,,,,
18115187,"All Fall Down (Embassy Row, #1)",Ally Carter,"Carter, Ally",,0545654785,9780545654784,4,3.83,Scholastic,ebook,320,2015,2015,,11/24/2014,,,read,,,,1,,,0,,,,,
